size,min,avg,max
924,392.75,413.94,445.47
925,393.24,409.87,431.96
926,393.24,408.72,437.10
927,393.48,408.13,434.71
928,394.31,408.27,428.10
929,395.06,408.31,425.18
930,394.24,414.11,470.57
931,401.09,417.80,455.65
932,397.92,412.72,446.32
933,398.38,410.72,440.70
934,394.76,409.73,430.41
935,395.99,410.83,436.00
936,395.57,409.26,422.94
937,394.09,409.43,433.20
938,394.87,412.12,439.73
939,394.28,409.68,430.78
940,394.76,409.14,432.08
941,394.98,409.36,427.77
942,396.70,410.62,429.34
943,395.86,410.19,429.00
944,396.86,410.79,434.29
945,402.27,416.82,464.52
946,399.71,415.43,438.80
947,396.33,410.04,422.73
948,401.14,410.02,428.38
949,399.22,411.82,433.57
950,396.04,411.07,426.90
951,402.69,412.50,429.54
952,401.45,416.21,447.03
953,399.13,411.37,427.34
954,395.72,410.58,439.38
955,398.38,410.58,423.58
956,398.68,410.99,427.46
957,400.59,410.80,425.50
958,399.80,412.47,430.90
959,407.10,425.85,459.64
960,405.40,417.07,438.77
961,403.44,414.69,432.58
962,401.12,413.53,432.27
963,402.63,415.23,435.27
964,402.15,414.82,438.51
965,403.09,414.26,432.47
966,407.27,425.94,466.44
967,408.39,425.23,447.12
968,411.74,420.18,438.92
969,406.54,417.62,430.82
970,407.46,417.45,431.35
971,403.76,415.59,435.92
972,402.14,417.79,446.08
973,402.92,416.50,439.36
974,402.34,416.43,442.30
975,403.38,415.62,430.93
976,404.84,428.97,460.01
977,407.82,421.48,435.81
978,407.44,419.68,436.66
979,404.61,421.48,442.13
980,405.71,422.19,444.39
981,404.65,417.29,449.30
982,402.37,416.41,432.42
983,403.95,417.32,432.46
984,403.93,416.11,446.93
985,405.76,416.94,435.05
986,403.00,420.25,447.69
987,406.42,417.81,440.55
988,405.56,417.29,440.45
989,406.92,419.48,443.86
990,407.39,418.92,441.42
991,407.43,418.85,437.46
992,407.90,418.45,436.42
993,406.89,424.26,475.71
994,413.96,425.95,440.27
995,411.18,421.43,435.02
996,410.30,420.23,436.22
